rho,seed,hamming_perm,hamming_raw,active_frac,teacher_active_frac,test_mse,total_pruned,rounds
0.001,2,0.5,0.5,0.0,0.5,12.049602508544922,3200,2
0.001,3,0.4921875,0.4921875,0.0018749999580904841,0.4934374988079071,8.51149845123291,3194,2
0.001,4,0.5053125,0.5059375,0.0009374999790452421,0.5062500238418579,15.93199634552002,3197,2
0.003,0,0.4896875,0.4896875,0.0,0.4896875023841858,12.720586776733398,3200,2
0.003,1,0.491875,0.491875,0.0,0.4918749928474426,9.020297050476074,3200,2
0.003,2,0.5,0.5,0.0,0.5,12.049602508544922,3200,2
0.003,3,0.4934375,0.4934375,0.0,0.4934374988079071,9.238787651062012,3200,2
0.003,4,0.50625,0.50625,0.0,0.5062500238418579,16.391149520874023,3200,2
0.01,0,0.4896875,0.4896875,0.0,0.4896875023841858,12.720586776733398,3200,2
0.01,1,0.491875,0.491875,0.0,0.4918749928474426,9.020297050476074,3200,2
0.01,2,0.5,0.5,0.0,0.5,12.049602508544922,3200,2
0.01,3,0.4934375,0.4934375,0.0,0.4934374988079071,9.238787651062012,3200,2
0.01,4,0.50625,0.50625,0.0,0.5062500238418579,16.391149520874023,3200,2
